city,crime_name,2010,2011,2012,2013,2014,avg,Latitude,Longitude
,,,,,,,,,
Ahmedabad,Imputation or assertions prejudicial to national integration,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Industrial riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Insult to modesty of women at office premises,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Insult to modesty of women at other places,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Insult to modesty of women in other places related to work,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Insult to modesty of women in public transport system,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Insult to the modesty of women,0.3,0.5,0.2,0.3,0.1,0.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping,,,,,1.6,1.6,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping & abduction,4.6,3.6,3.6,7.2,5.8,5,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping & abduction in order to murder,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping & abduction of others,0.7,0.7,,1.7,0,1,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping & abduction of women and girls,5.9,6.1,6.1,11.8,0,7.5,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping & abduction of women to compel her for marriage,,,,,6.7,6.7,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping for ransom,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Kidnapping of others,,,0.7,,0,0.7,23.02,72.58
,,,,,,,,,
Ahmedabad,Making or possessing materials for forged currency or bank notes,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Making or using documents resembling currency notes or bank notes,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Making preparation and assembly for committing dacoity,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Murder,1.8,1.5,1.4,1.5,1.3,1.5,23.02,72.58
,,,,,,,,,
Ahmedabad,Offences against state,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Offences promoting enmity between different groups,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Offences related to counterfeit coin,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Other IPC crimes,247.5,163.7,190.7,181.7,117.3,180.2,23.02,72.58
,,,,,,,,,
Ahmedabad,Other cases of assault on women to outrage her modesty,,,,,2.6,2.6,23.02,72.58
,,,,,,,,,
Ahmedabad,Other caste conflict riots,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Other kidnapping & abduction,,,,,0.9,0.9,23.02,72.58
,,,,,,,,,
Ahmedabad,Other rape,1.6,2,2.1,3.9,0.1,1.9,23.02,72.58
,,,,,,,,,
Ahmedabad,Other rape other than custodial,,,,,3.3,3.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Other theft,34.5,24.7,21.6,21.4,14.1,23.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Political riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Possession of forged or counterfeiting currency or bank notes,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Preparation & assembly for dacoity,0,0,0,0,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Rape,1.6,2,2.1,3.9,3.3,2.6,23.02,72.58
,,,,,,,,,
Ahmedabad,Rape other than custodial,,,,,3.3,3.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Riots,3.8,2.5,2.5,2.4,1.4,2.5,23.02,72.58
,,,,,,,,,
Ahmedabad,Riots others,,,,,0.9,0.9,23.02,72.58
,,,,,,,,,
Ahmedabad,Robbery,17.8,11.3,9.5,9.2,4.1,10.4,23.02,72.58
,,,,,,,,,
Ahmedabad,SCs-STs vs Non-SCs-STs riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Sectarian riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Sedition,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Sexual harassment,,,,,2.3,2.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Sexual harassment and molestation of women,2.7,3.3,2.9,6.3,5.5,4.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Stalking,,,,,0.4,0.4,23.02,72.58
,,,,,,,,,
Ahmedabad,Student riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Theft,103.1,61,57,54.3,40.8,63.2,23.02,72.58
,,,,,,,,,
Ahmedabad,Total cognizable crimes under IPC,474.5,318.1,336.1,334.7,240.6,340.8,23.02,72.58
,,,,,,,,,
Ahmedabad,Unlawful assembly,,,,,0.3,0.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Unnatural offences,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Use of criminal force with intent to disrobe women,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,"Using as genuine, forged or counterfeiting currency or bank notes",,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Voyeurism,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Allahabad,Acid attack,,,,,0.2,0.2,25.44,81.83
,,,,,,,,,
Allahabad,Agrarian riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Arson,0.1,0.2,0.4,0.3,0,0.2,25.44,81.83
,,,,,,,,,
Allahabad,Assault on women with intent to outrage her modesty,1.6,2,3,16.4,17.1,8,25.44,81.83
,,,,,,,,,
Allahabad,Attempt to acid attack,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Attempt to commit culpable homicide not amounting to murder,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Attempt to commit murder,4.5,4.9,4.9,4.1,4.8,4.6,25.44,81.83
,,,,,,,,,
Allahabad,Attempt to commit rape,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Auto theft,45.8,68.1,60.1,75.4,108.9,71.7,25.44,81.83
,,,,,,,,,
Allahabad,Burglary,12.3,11,11.1,13.6,15.6,12.7,25.44,81.83
,,,,,,,,,
Allahabad,Caste conflict riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Causing death by negligence,29.2,14.6,5.9,6.2,6.4,12.5,25.44,81.83
,,,,,,,,,
Allahabad,Causing injuries under rash driving or road rage,,,,,19,19,25.44,81.83
,,,,,,,,,
Allahabad,Cheating,13.4,12.7,15.6,21.7,24.6,17.6,25.44,81.83
,,,,,,,,,
Allahabad,Communal riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Counterfeit currency & bank notes total,,,,,0.5,0.5,25.44,81.83
,,,,,,,,,
Allahabad,Counterfeiting,3,0.9,0.6,0.7,0.5,1.1,25.44,81.83
,,,,,,,,,
Allahabad,Counterfeiting currency - notes or bank notes,,,,,0.5,0.5,25.44,81.83
,,,,,,,,,
Allahabad,Counterfeiting government stamp,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Criminal breach of trust,4.1,5.5,3.9,4.2,4.8,4.5,25.44,81.83
,,,,,,,,,
Allahabad,Criminal trespass or burglary,,,,,15.6,15.6,25.44,81.83
,,,,,,,,,
Allahabad,Cruelty by husband or his relatives,11.4,16.4,23.5,27.8,31.4,22.1,25.44,81.83
,,,,,,,,,
Allahabad,Culpable homicide not amounting to murder,0.4,0.6,0.6,1,0.7,0.7,25.44,81.83
,,,,,,,,,
Allahabad,Custodial rape,0,0,0,0,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Dacoity,0.2,0.2,0.2,0.1,0.2,0.2,25.44,81.83
,,,,,,,,,
Allahabad,Dacoity with murder,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Deaths due to other causes,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Deaths due to rash or negligent driving,,,,,6.4,6.4,25.44,81.83
,,,,,,,,,
Allahabad,Disclosure of identity of victims,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Dowry deaths,2.5,1.8,1.6,2.7,2.5,2.2,25.44,81.83
,,,,,,,,,
Allahabad,Extortion,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Forgery,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Gang rape,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Gang rape other than custodial,,,,,0.4,0.4,25.44,81.83
,,,,,,,,,
Allahabad,Grievous hurt,,,,,1.6,1.6,25.44,81.83
,,,,,,,,,
Allahabad,House trespass & house breaking,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Human trafficking,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Hurt,24.3,18.1,7.1,2.2,1.7,10.7,25.44,81.83
,,,,,,,,,
Allahabad,Importation of girls from foreign country,0,0,0,0,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Imputation or assertions prejudicial to national integration,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Industrial riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Insult to modesty of women at office premises,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Insult to modesty of women at other places,,,,,0.2,0.2,25.44,81.83
,,,,,,,,,
Allahabad,Insult to modesty of women in other places related to work,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Insult to modesty of women in public transport system,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Insult to the modesty of women,0,0.2,0,0,0.2,0.1,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping,,,,,0.7,0.7,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping & abduction,3.8,5.6,4.9,9.4,8.5,6.4,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping & abduction in order to murder,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping & abduction of others,1,1,,3.5,0,1.8,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping & abduction of women and girls,5.3,10,9.3,12.8,0,9.3,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping & abduction of women to compel her for marriage,,,,,9.3,9.3,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping for ransom,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Kidnapping of others,,,0.7,,0,0.7,25.44,81.83
,,,,,,,,,
Allahabad,Making or possessing materials for forged currency or bank notes,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Making or using documents resembling currency notes or bank notes,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Making preparation and assembly for committing dacoity,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Murder,4.2,4.8,2.6,3.6,2.7,3.6,25.44,81.83
,,,,,,,,,
Allahabad,Offences against state,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Offences promoting enmity between different groups,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Offences related to counterfeit coin,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Other IPC crimes,15,40,76.7,121.6,127,76.1,25.44,81.83
,,,,,,,,,
Allahabad,Other cases of assault on women to outrage her modesty,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Other caste conflict riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Other kidnapping & abduction,,,,,3.5,3.5,25.44,81.83
,,,,,,,,,
Allahabad,Other rape,1.2,1.8,2,4.6,0.1,1.9,25.44,81.83
,,,,,,,,,
Allahabad,Other rape other than custodial,,,,,3.2,3.2,25.44,81.83
,,,,,,,,,
Allahabad,Other theft,12.7,16.3,15,26,26.5,19.3,25.44,81.83
,,,,,,,,,
Allahabad,Political riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Possession of forged or counterfeiting currency or bank notes,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Preparation & assembly for dacoity,0,0.1,0.4,0.1,0,0.2,25.44,81.83
,,,,,,,,,
Allahabad,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Rape,1.2,1.8,2,4.6,3.6,2.6,25.44,81.83
,,,,,,,,,
Allahabad,Rape other than custodial,,,,,3.6,3.6,25.44,81.83
,,,,,,,,,
