Time,Year,Month,Day,Hour,Minute,Realtime wind speed,Forecast wind speed
2019/6/23 5:00,2019,6,23,5,0,2.5,2.798423628
2019/6/23 6:00,2019,6,23,6,0,3,2.683451447
2019/6/23 7:00,2019,6,23,7,0,2.5,2.760218731
2019/6/23 8:00,2019,6,23,8,0,4.8,3.915473529
2019/6/23 9:00,2019,6,23,9,0,5.2,4.445204341
2019/6/23 10:00,2019,6,23,10,0,6.8,4.862365347
2019/6/23 11:00,2019,6,23,11,0,7.8,5.266166065
2019/6/23 12:00,2019,6,23,12,0,6.1,5.328600857
2019/6/23 13:00,2019,6,23,13,0,7.7,5.298673054
2019/6/23 14:00,2019,6,23,14,0,6.5,5.349009886
2019/6/23 15:00,2019,6,23,15,0,7.1,5.47757885
2019/6/23 16:00,2019,6,23,16,0,7.5,6.037060172
2019/6/23 17:00,2019,6,23,17,0,6.3,5.98701739
2019/6/23 18:00,2019,6,23,18,0,6.9,5.935009457
2019/6/23 19:00,2019,6,23,19,0,5.8,5.563263527
2019/6/23 20:00,2019,6,23,20,0,4.4,4.778850294
2019/6/23 21:00,2019,6,23,21,0,5.5,4.474530915
2019/6/23 22:00,2019,6,23,22,0,3.2,3.5682645
2019/6/23 23:00,2019,6,23,23,0,1.8,3.210172616
