,Year,Month,Day,Hour,Minute,Temperature(2m)[ÅãC],Mean Sea Level Pressure[hpa],Radiation[W/m2],Wind Speed(10m)[m/s],Wind Direction(10m),Wind Speed(80m)[m/s],Wind Direction(80m),Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[ÅãC],Ppv(the output of the PV array)[Wh],V_COE[power law],Éœ(air dencity),Wind Speed(30.5)[m/s],Pwt[kW],Pwt_STP[kW]
35,2019,4,16,11,0,20.99,1019.9,729.8,2.25,69.15,2.26,77.2,2019-04-16 11:00:00,11,-15,106,9.783189981258822,0.9528964877031219,0.3081493757179006,17.655658688226794,0.8885519509825346,0.4766172007126196,27.308154044172756,1.355668565028092,1.2045819483414042,1.1054785254997372,0.7298,0.6601666004050962,0.23185983348536118,0.4979401665146388,0.7298,1.0724150531090917,0.5504621610656966,0.8260125590807716,0.7802801926535151,294.14,312.5025938671127,39.35259386711272,116.87969731751609,0.0021325903993834575,1.2081520828807255,2.2553571831043087,0.0,0.0
36,2019,4,16,12,0,22.04,1019.2,807.23,2.47,68.63,2.43,80.54,2019-04-16 12:00:00,12,0,106,9.783189981258822,0.9864745248284662,0.16465767743162796,9.434189981258786,0.916601465772088,0.41130097572650004,23.56581001874117,1.355668565028092,1.2426077938058924,1.1054785254997372,0.80723,0.7302086665456369,0.16700310674043747,0.6402268932595625,0.80723,1.0762305774816991,0.7077570819458588,0.8905705094154976,0.8750467087496839,295.19,315.78276587924256,42.632765879242584,129.92303702147447,-0.007851575992965603,1.2030283926268242,2.448468021667587,0.0,0.0
37,2019,4,16,13,0,22.77,1018.7,895.34,2.26,77.2,2.3,87.51,2019-04-16 13:00:00,13,15,106,9.783189981258822,0.9528964877031219,0.3081493757179006,17.655658688226794,0.8885519509825346,0.4766172007126196,27.308154044172756,1.355668565028092,1.2045819483414042,1.0302926123845741,0.89534,0.8690152576439122,0.1477311,0.7476089,0.89534,1.0724150531090917,0.7702559266229579,0.9137833441248533,0.9700782019228879,295.91999999999996,318.74917368525195,45.59917368525197,142.8780202807795,0.008437029509729185,1.1994719356300272,2.2813635119911075,0.0,0.0
38,2019,4,16,14,0,23.07,1018.0,878.43,1.84,77.47,1.8,90.0,2019-04-16 14:00:00,14,30,106,9.783189981258822,0.854450664066851,0.5463037741802826,31.30090059259819,0.8063149346927672,0.6329011132348502,36.26256263748832,1.355668565028092,1.0930958104756634,0.88504458188245,0.8784299999999999,0.9925262726670998,0.14494094999999999,0.73348905,0.8784299999999999,1.0596984221710157,0.6491705095726055,0.9137833441248533,0.9388837978759786,296.21999999999997,318.31506537668133,45.165065376681355,138.44712139907853,-0.010569619909112715,1.1974337747370645,1.8184399239685336,0.0,0.0
39,2019,4,16,15,0,23.03,1017.5,768.96,1.3,85.6,1.2,90.0,2019-04-16 15:00:00,15,45,106,9.783189981258822,0.6978459741110495,0.7984106286486687,45.74555933995557,0.6754947336598383,0.8291608823235993,47.50741909448574,1.355668565028092,0.9157469762646661,0.679632847238365,0.7689600000000001,1.1314344254027877,0.12687840000000003,0.6420816,0.7689600000000001,1.0330886968283408,0.436379745967365,0.9137833441248533,0.8000511370633355,296.17999999999995,315.0078700922238,41.857870092223834,119.03683206285908,-0.03849240580664536,1.1970072818041013,1.2453788512616655,0.0,0.0
40,2019,4,16,16,0,21.93,1017.2,623.89,0.81,209.74,1.06,228.81,2019-04-16 16:00:00,16,60,106,9.783189981258822,0.4937547686547188,1.0543940350682892,60.41232815318189,0.5050065283935381,1.0414067977359294,59.66821426650293,1.355668565028092,0.684621475677086,0.42805587870937206,0.62389,1.4574966284333855,0.10294185,0.5209481499999999,0.62389,0.9777195756763541,0.22299491811027172,0.9137833441248533,0.6169241267142666,295.08,309.5982811153424,36.44828111534241,93.12934125445925,0.1293568172261915,1.2011152470788056,0.9356911130477611,0.0,0.0
41,2019,4,16,17,0,18.49,1017.9,372.02,3.37,258.02,5.02,265.43,2019-04-16 17:00:00,17,75,106,9.783189981258822,0.2560855260730436,1.3118258177703281,75.16208281453763,0.3064688083376842,1.2593152207473393,72.15344722540814,1.355668565028092,0.4154701296250178,0.14745823095012336,0.37201999999999996,2.5228839217922867,0.061383299999999995,0.3106367,0.37201999999999996,0.8356006193976989,0.04580593825018418,0.9137833441248533,0.32289366567697186,291.64,299.23876426559804,26.08876426559806,50.08566793429245,0.19164625758963783,1.2161191521980468,4.172959335479918,0.2198746555202178,0.2214803150870889
42,2019,4,16,18,0,15.62,1018.7,207.37,4.31,266.01,6.2,268.15,2019-04-16 18:00:00,18,90,106,9.783189981258822,0.0010350124809713388,1.5697613141291322,89.94069814250912,0.09341159101498797,1.4772483522635977,84.64009587735926,1.355668565028092,0.12663515754827973,0.14303783005412488,0.20737,1.4497563331430021,0.034216050000000005,0.17315395,0.20737,0.011080129026014235,0.024767565273300436,0.9137833441248533,0.036592594552630676,288.77,289.63114572513854,16.48114572513856,5.81715483646253,0.17486011539504653,1.2291710883805025,5.237957809377089,0.3598458835181316,0.35862477687341576
43,2019,4,16,19,0,12.91,1018.8,53.4,2.9,268.03,5.64,262.87,2019-04-16 19:00:00,19,105,106,9.783189981258822,-0.25401550111110116,1.8276260083563511,104.71525680716024,-0.11964562630770847,1.6907292638084792,96.87165111548663,1.355668565028092,0.1621998145284584,0.4236354778133731,0.053399999999999996,0.1260517657199727,0.05279419521394981,0.0006058047860501847,0.053399999999999996,2.1230654972528282,0.0002566403999999983,0.10651130885871916,0.050817943269558026,286.06,287.25591559827694,14.105915598276965,8.127011771496045,0.319880754127953,1.240937490027311,4.143012043154711,0.21593872567176195,0.21316540202366413
44,2019,4,16,20,0,12.97,1019.1,0.0,1.7,270.0,4.1,270.0,2019-04-16 20:00:00,20,120,106,9.783189981258822,-0.491684743692776,2.084819792565284,119.45137515933054,-0.318183346363562,1.894608954024424,108.55309689329492,1.355668565028092,0.4313511605805265,0.6752124463423665,0.0,0.0,0.0,0.0,0.0,1.5452874869540412,0.0,0.0,0.0,286.12,286.12,12.970000000000027,0.0,0.42336305445591477,1.241042597560245,2.72573468518016,0.029667987195106715,0.02928447773303888
