,DateTime,Date,Year,Month,Day,Hour,wind_10m[m/s],index,temperature,index,radiation,index,Uwind,index,Vwind,wind_30m[m/s],wind output[kWh],ts,ω,n,δ the solar declination,cosθ,θ(radian),θ(degree),cosθz,θz(radian),θz(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[°C],Ppv(the output of the PV array)[Wh]
10,2019-05-07 07:00:00,2019-05-07 07:00:00,2019,5,7,7,2.4993138236048424,temperature FH10,12.580922851562493,radiation FH10-11W/m2(avg),350.1589632034302,Uwind FH10m/s,2.2430219650268555,Vwind FH10m/s,1.1024618148803709,3.6245497988812474,0.14779797356724964,7,-75,127,16.688347792507614,0.24966239740975293,1.3184647304220847,75.5424644900393,0.364960801487132,1.1972056266979254,68.59482961910588,1.340957797885735,0.48939703267679746,0.4131319306092447,0.35015896320343015,0.8475717737117331,0.05777622892856598,0.29238273427486416,0.35015896320343015,0.6840800337801638,0.1207926434877844,0.9137833441248533,0.25811382743497635,285.73092285156247,291.80520159053225,18.655201590532272,40.807362716489855
11,2019-05-07 08:00:00,2019-05-07 08:00:00,2019,5,7,8,2.4706963350875464,temperature FH11,13.398336181640616,radiation FH11-12W/m2(avg),566.2950210571289,Uwind FH11m/s,1.983060836791992,Vwind FH11m/s,1.4737062454223633,3.5830482030151285,0.14234347811055972,8,-60,127,16.688347792507614,0.4806807454875443,1.0693654664463426,61.270127984414074,0.5579426767193574,0.9788916614290196,56.08636080043194,1.340957797885735,0.748177583120062,0.6550152700378581,0.5662950210571289,0.8645523958920814,0.09343867847442627,0.47285634258270265,0.5662950210571289,0.8615235319762509,0.3097281249259229,0.9137833441248533,0.5019825760545791,286.5483361816406,298.3616594714584,25.211659471458404,78.04175323258883
12,2019-05-07 09:00:00,2019-05-07 09:00:00,2019,5,7,9,2.9676048532975967,temperature FH12,14.463613281249993,radiation FH12-13W/m2(avg),755.0007972717285,Uwind FH12m/s,1.9349336624145508,Vwind FH12m/s,2.250046730041504,4.303673861437997,0.23705427893185105,9,-45,127,16.688347792507614,0.6790606983563885,0.8243140100035943,47.229713766710674,0.7236599698766033,0.7617055459798654,43.64251301635436,1.340957797885735,0.9703974796237873,0.8525121896647015,0.7550007972717285,0.8856187705288708,0.12457513154983521,0.6304256657218933,0.7550007972717285,0.9383698513435533,0.5374455647053984,0.9137833441248533,0.7206625595777769,287.61361328124997,304.57320551664696,31.423205516646988,110.2427874875035
13,2019-05-07 10:00:00,2019-05-07 10:00:00,2019,5,7,10,3.3606337423290578,temperature FH13,15.641378173828116,radiation FH13-14W/m2(avg),898.0367431640625,Uwind FH13m/s,1.5605421066284182,Vwind FH13m/s,2.976334571838379,4.8736514157728195,0.3119656146444277,10,-30,127,16.688347792507614,0.8312829900666469,0.589384449311123,33.769241456169546,0.8508193212909793,0.5532537450727711,31.69910459247655,1.340957797885735,1.140912803476987,0.9921636007962971,0.8980367431640625,0.9051297008309016,0.1481760626220703,0.7498606805419922,0.8980367431640625,0.9770382139480692,0.7439844729021047,0.9137833441248533,0.8904453169285177,288.7913781738281,309.7465246322125,36.59652463221255,134.36644814806144
14,2019-05-07 11:00:00,2019-05-07 11:00:00,2019,5,7,11,4.307003177976973,temperature FH14,16.29112792968749,radiation FH14-15W/m2(avg),981.5320129394532,Uwind FH14m/s,0.5103168487548828,Vwind FH14m/s,4.2766637802124015,6.246093369739838,0.4923437000229501,11,-15,127,16.688347792507614,0.9269739229974965,0.3845324527809841,22.032086630164002,0.9307550313043593,0.37432394040352296,21.44718195582842,1.340957797885735,1.248103217148962,1.0644524905488952,0.9815320129394532,0.9221003489158232,0.1619527821350098,0.8195792308044434,0.9815320129394531,0.9959375902577029,0.8724031534319376,0.9137833441248533,0.9921943810542972,289.44112792968747,312.7907690304986,39.64076903049863,148.5079894598434
15,2019-05-07 12:00:00,2019-05-07 12:00:00,2019,5,7,12,5.961576246656038,temperature FH15,16.158468017578116,radiation FH16-17W/m2(avg),997.1191940307616,Uwind FH15m/s,0.39357757568359375,Vwind FH15m/s,5.948570251464844,8.645584952859737,0.8077054509472797,12,0,127,16.688347792507614,0.9596123182064433,0.28517541660772555,16.33934779250764,0.9580196133793386,0.2907832365504037,16.660652207492394,1.340957797885735,1.2846638710885012,1.0644524905488952,0.9971191940307617,0.9367437277699332,0.16452466701507568,0.832594527015686,0.9971191940307618,1.001662497098036,0.8862573178992265,0.9137833441248533,1.0136829020395879,289.3084680175781,313.1638056455764,40.01380564557644,151.5725548407828
16,2019-05-07 13:00:00,2019-05-07 13:00:00,2019,5,7,13,6.466870760471277,temperature FH16,16.026143798828116,radiation FH17-18W/m2(avg),946.3419914245604,Uwind FH16m/s,0.42745208740234375,Vwind FH16m/s,6.452728271484375,9.37837213273587,0.9040146231595714,13,15,127,16.688347792507614,0.9269739229974965,0.3845324527809841,22.032086630164002,0.9307550313043593,0.37432394040352296,21.44718195582842,1.340957797885735,1.248103217148962,0.9921636007962971,0.9463419914245604,0.9538164781141327,0.15614642858505248,0.790195562839508,0.9463419914245604,0.9959375902577029,0.7840032749601028,0.9137833441248533,0.9558303843722465,289.1761437988281,311.6700188443883,38.520018844388346,143.49507811218905
17,2019-05-07 14:00:00,2019-05-07 14:00:00,2019,5,7,14,6.451659575210274,temperature FH17,15.970784912109366,radiation FH18-19W/m2(avg),836.0908164978027,Uwind FH17m/s,0.1314535140991211,Vwind FH17m/s,6.450320243835449,9.356312598651833,0.9011153701085266,14,30,127,16.688347792507614,0.8312829900666469,0.589384449311123,33.769241456169546,0.8508193212909793,0.5532537450727711,31.69910459247655,1.340957797885735,1.140912803476987,0.8525121896647015,0.8360908164978027,0.9807376676064216,0.13795498472213746,0.6981358317756652,0.8360908164978027,0.9770382139480692,0.59516930663046,0.9137833441248533,0.8282335304268249,289.12078491210934,308.6118806614873,35.46188066148733,125.35595629491527
18,2019-05-07 15:00:00,2019-05-07 15:00:00,2019,5,7,15,6.251918922947626,temperature FH18,15.924306640624993,radiation FH19-20W/m2(avg),670.5497283935548,Uwind FH18m/s,0.12017059326171875,Vwind FH18m/s,6.250763893127441,9.06664511706171,0.8630447868138248,15,45,127,16.688347792507614,0.6790606983563885,0.8243140100035943,47.229713766710674,0.7236599698766033,0.7617055459798654,43.64251301635436,1.340957797885735,0.9703974796237873,0.6550152700378581,0.6705497283935548,1.0237161774179688,0.11064070518493654,0.5599090232086182,0.6705497283935548,0.9383698513435533,0.3667489600336265,0.9137833441248533,0.640056409828713,289.07430664062497,304.1369674852607,30.98696748526072,98.02418171889096
19,2019-05-07 16:00:00,2019-05-07 16:00:00,2019,5,7,16,5.837420432103895,temperature FH19,15.851949462890616,radiation FH20-21W/m2(avg),465.7925057411194,Uwind FH19m/s,0.4232139587402344,Vwind FH19m/s,5.82205867767334,8.465531960548494,0.7840413433863734,16,60,127,16.688347792507614,0.4806807454875443,1.0693654664463426,61.270127984414074,0.5579426767193574,0.9788916614290196,56.08636080043194,1.340957797885735,0.748177583120062,0.4131319306092447,0.4657925057411194,1.127466727285437,0.0768557634472847,0.3889367422938347,0.4657925057411194,0.8615235319762509,0.1606821872287222,0.9137833441248533,0.41377653379666984,289.0019494628906,298.7394905582389,25.589490558238936,64.26587745557073
