,month,hour,18panels_PV_mean,1unit Wind_mean
241,11.0,1.0,0.0,0.21462718336666667
242,11.0,2.0,0.0,0.22782569693333335
243,11.0,3.0,0.0,0.23754448850000007
244,11.0,4.0,0.0,0.26092882386666666
245,11.0,5.0,0.0,0.27982629619999994
246,11.0,6.0,0.0,0.298944459
247,11.0,7.0,0.0661019682,0.35818274969999997
248,11.0,8.0,0.7717507446,0.3261597291333333
249,11.0,9.0,1.6211320583999997,0.33526136673333334
250,11.0,10.0,2.3200782672,0.3700666958666667
251,11.0,11.0,2.6697726323999995,0.41756220550000006
252,11.0,12.0,2.8486545444000004,0.39775726036666664
253,11.0,13.0,2.611759911,0.44325940606666675
254,11.0,14.0,2.0259065904,0.4196597594666666
255,11.0,15.0,1.2261612252000003,0.3810268055666667
256,11.0,16.0,0.32585184300000003,0.3351094032666666
257,11.0,17.0,0.0002730522,0.30642290516666665
258,11.0,18.0,0.0,0.2727380318666667
259,11.0,19.0,0.0,0.2220845412
260,11.0,20.0,0.0,0.2363616802
261,11.0,21.0,0.0,0.2500948719
262,11.0,22.0,0.0,0.23606355126666662
263,11.0,23.0,0.0,0.23650818073333335
264,12.0,0.0,0.0,0.49291688706451603
265,12.0,1.0,0.0,0.48669332919354835
266,12.0,2.0,0.0,0.4767036858387097
267,12.0,3.0,0.0,0.47885621893548386
268,12.0,4.0,0.0,0.4948130529354839
269,12.0,5.0,0.0,0.4738016947741935
270,12.0,6.0,0.0,0.475281169967742
271,12.0,7.0,0.0,0.4801578716774194
272,12.0,8.0,0.22944400432258064,0.47476598845161294
273,12.0,9.0,1.0703299772903228,0.4434001227741935
274,12.0,10.0,1.7664161986451619,0.5179181147741936
275,12.0,11.0,2.2189701518709675,0.5040364435483871
276,12.0,12.0,2.3922623136774193,0.4163712952580645
277,12.0,13.0,2.207118611032258,0.38985131041935484
278,12.0,14.0,1.6966932363870966,0.4584068812903226
279,12.0,15.0,0.970569072,0.4626785000645161
280,12.0,16.0,0.15825543038709677,0.45305652551612896
281,12.0,17.0,0.0,0.44860420316129035
282,12.0,18.0,0.0,0.45458359864516124
283,12.0,19.0,0.0,0.4820598400967741
284,12.0,20.0,0.0,0.4898070710967741
285,12.0,21.0,0.0,0.5073261807096773
286,12.0,22.0,0.0,0.4932851753225807
287,12.0,23.0,0.0,0.4908774251290322
