,Year,Month,Day,Hour,Minute,Temperature(2m)[ÅãC],Mean Sea Level Pressure[hpa],Radiation[W/m2],Wind Speed(10m)[m/s],Wind Direction(10m),Wind Speed(80m)[m/s],Wind Direction(80m),Date,Time,n,ts,É÷,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,Temperature(2m)[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[ÅãC],Ppv(the output of the PV array)[Wh]
2456,2017,4,13,8,0,11.92,1018.3,505.5555556,5.39,280.68,5.79,279.95,2017-04-13 00:00:00,2017-04-13 08:00:00,103,8,-60,8.670040530786293,0.4951954582496749,1.0527365298525984,60.31736009980188,0.49576557135927046,1.0520801855923985,60.279754343784795,1.357937626167502,0.6732187231071831,0.682665467226432,0.5055555556,0.7405611970589296,0.09896207091447293,0.40659348468552703,0.5055555556,0.9988500348904172,0.27756733119406846,0.8968003394054953,0.5087958972568672,285.07,297.04366344877826,23.893663448778284,79.37012457839857
2457,2017,4,13,9,0,13.0,1017.9,688.8888889,5.85,282.85,6.14,282.23,2017-04-13 00:00:00,2017-04-13 09:00:00,103,9,-45,8.670040530786293,0.6999317998785393,0.7954943249867684,45.57846744835014,0.6667926930769763,0.8408995756076513,48.17999667666049,1.357937626167502,0.905462886782785,0.8890714085885498,0.6888888889,0.7748408983184482,0.11841267718845472,0.5704762117115453,0.6888888889,1.0496992650723862,0.5071940891126433,0.9100058405804324,0.7277510977712438,286.15,303.2764091675499,30.126409167549923,111.70589869100225
2458,2017,4,13,10,0,13.7,1017.8,844.4444444000001,6.67,282.99,7.16,282.09,2017-04-13 00:00:00,2017-04-13 10:00:00,103,10,-30,8.670040530786293,0.8570315202304473,0.5413156422219506,31.015101683731437,0.7980264192473346,0.6467832343812868,37.05794958986846,1.357937626167502,1.0836701013716774,1.0350224494028963,0.8444444444000001,0.8158706556434205,0.13933333332600004,0.705111111074,0.8444444444000001,1.0739387814237575,0.7298058292850091,0.9137833441248533,0.9154092042852613,286.84999999999997,308.39262994084646,35.242629940846484,138.63083786942738
2459,2017,4,13,11,0,14.56,1017.9,922.2222222000001,7.1,279.73,7.61,279.83,2017-04-13 00:00:00,2017-04-13 11:00:00,103,11,-15,8.670040530786293,0.9557885329829793,0.2984665438927327,17.10087329090972,0.880523388305822,0.4938310678030953,28.294435977556155,1.357937626167502,1.1956958397009736,1.1105722674334728,0.9222222222000002,0.83040271150589,0.15216666666300002,0.7700555555370001,0.9222222222000002,1.085477734807217,0.8552023443624688,0.9137833441248533,1.01269322470309,287.71,311.542047221346,38.39204722134605,152.08368398972158
2460,2017,4,13,12,0,14.48,1017.3,922.2222222000001,5.73,286.22,6.14,286.07,2017-04-13 00:00:00,2017-04-13 12:00:00,103,12,0,8.670040530786293,0.9894727109207306,0.14522955445411742,8.321040530786295,0.9086615681437901,0.4307290987040114,24.67895946921371,1.357937626167502,1.2339057328348182,1.1105722674334728,0.9222222222000002,0.83040271150589,0.15216666666300002,0.7700555555370001,0.9222222222000002,1.088934258485281,0.8552023443624688,0.9137833441248533,1.015804748762639,287.63,311.5352717542141,38.3852717542141,152.55372686633328
2461,2017,4,13,13,0,15.09,1017.1,875.0,5.35,290.81,5.76,290.32,2017-04-13 00:00:00,2017-04-13 13:00:00,103,13,15,8.670040530786293,0.9557885329829793,0.2984665438927327,17.10087329090972,0.880523388305822,0.4938310678030953,28.294435977556155,1.357937626167502,1.1956958397009736,1.0350224494028963,0.875,0.8453922912539596,0.144375,0.730625,0.875,1.085477734807217,0.7562132770949911,0.9137833441248533,0.9587390750308697,288.23999999999995,310.8023262323931,37.652326232393136,144.26560634862088
2462,2017,4,13,14,0,15.27,1017.1,769.4444444000001,5.37,296.57,5.77,295.68,2017-04-13 00:00:00,2017-04-13 14:00:00,103,14,30,8.670040530786293,0.8570315202304473,0.5413156422219506,31.015101683731437,0.7980264192473346,0.6467832343812868,37.05794958986846,1.357937626167502,1.0836701013716774,0.8890714085885498,0.7694444444,0.8654472936223827,0.126958333326,0.642486111074,0.7694444444,1.0739387814237575,0.5712160317711406,0.9137833441248533,0.8313810870133224,288.41999999999996,307.9851682477135,34.83516824771351,126.04145434403729
2463,2017,4,13,15,0,15.27,1016.6,586.1111111,4.96,304.33,5.46,304.56,2017-04-13 00:00:00,2017-04-13 15:00:00,103,15,45,8.670040530786293,0.6999317998785393,0.7954943249867684,45.57846744835014,0.6667926930769763,0.8408995756076513,48.17999667666049,1.357937626167502,0.905462886782785,0.682665467226432,0.5861111111,0.8585627063886535,0.09670833333150002,0.4894027777685,0.5861111111,1.0496992650723862,0.3340983759472467,0.9137833441248533,0.6175403038337626,288.41999999999996,302.95278181688786,29.802781816887887,94.86933746380694
2464,2017,4,13,16,0,15.09,1016.8,386.1111111,4.68,311.53,5.25,310.36,2017-04-13 00:00:00,2017-04-13 16:00:00,103,16,60,8.670040530786293,0.4951954582496749,1.0527365298525984,60.31736009980188,0.49576557135927046,1.0520801855923985,60.279754343784795,1.357937626167502,0.6732187231071831,0.42987084911842505,0.3861111111,0.8982025924573228,0.0637083333315,0.3224027777685,0.3861111111,0.9988500348904172,0.138591555837484,0.9137833441248533,0.3885887279929085,288.23999999999995,297.38478806543304,24.234788065433065,60.56508865226626
2465,2017,4,13,17,0,14.75,1016.7,175.0,3.98,321.12,4.62,321.15,2017-04-13 00:00:00,2017-04-13 17:00:00,103,17,75,8.670040530786293,0.2567749386830591,1.3111125556124452,75.12121590320454,0.2966002698035964,1.2696655709700169,72.74647860964986,1.357937626167502,0.4027646662977364,0.14791508972573011,0.175,1.183111204708673,0.028874999999999998,0.146125,0.175,0.8657272592944406,0.021614092486172312,0.9137833441248533,0.15638372932663833,287.9,291.5802304301535,18.43023043015353,24.738124339369342
2466,2017,4,13,18,0,13.55,1017.1,25.0,2.75,340.91,4.31,338.2,2017-04-13 00:00:00,2017-04-13 18:00:00,103,18,90,8.670040530786293,0.000918205578619149,1.569878121087254,89.94739068822726,0.0828695745747507,1.487831608613648,85.24647179972217,1.357937626167502,0.11253171337954787,0.1439869919029628,0.025,0.1736267955153078,0.02460933971009056,0.0003906602899094412,0.025,0.011080129026014265,5.624999999999981e-05,0.12500564625798968,0.02309541866349047,286.7,287.2435121858808,14.093512185880797,3.693628067362323
