,Year,Month,Day,Hour,Minute,Real_Temperature(2m)[ÅãC],Real_Mean Sea Level Pressure[hpa],Real_Radiation[W/m2],Real_Wind Speed(10m)[m/s],Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Real_Tc(the PV cell temperature)[ÅãC],Real_Ppv(the output of the PV array)[Wh],Pwt[kW],Pwt from power curve[kW]
3763,2017,6,6,19,0,21.1,1014.6,0.0,2.3,2017-06-06 19:00:00,19,105,157,22.64660153800634,-0.23651360047150133,1.8095723983128718,103.68086114669389,0.012142669770565023,1.558653358609696,89.30425917222638,1.3261658300108092,0.01610319373482839,0.3852329071725584,0.0,0.0,0.0,0.0,0.0,19.47789118376855,0.0,0.0,0.0,294.25,294.25,21.100000000000023,0.0,0.0,0.0
3764,2017,6,6,20,0,20.8,1014.5,0.0,1.9,2017-06-06 20:00:00,20,120,157,22.64660153800634,-0.4590947341831555,2.047772257665016,117.32870776818157,-0.17379115294262337,1.745474434752933,100.00831835932604,1.3261658300108092,0.23047588859068957,0.6157114797081548,0.0,0.0,0.0,0.0,0.0,2.641646173638794,0.0,0.0,0.0,293.95,293.95,20.80000000000001,0.0,0.0,0.0
3765,2017,6,6,21,0,20.4,1014.2,0.0,2.8,2017-06-06 21:00:00,21,135,157,22.64660153800634,-0.6502294868234235,2.2786827850243703,130.55890643101267,-0.33345614619305514,1.9107635019580274,109.47868430983218,1.3261658300108092,0.4422181468883186,0.8038964461605722,0.0,0.0,0.0,0.0,0.0,1.9499700162880542,0.0,0.0,0.0,293.54999999999995,293.54999999999995,20.399999999999977,0.0,0.0,0.0
3766,2017,6,6,22,0,20.6,1013.9,0.0,3.7,2017-06-06 22:00:00,22,150,157,22.64660153800634,-0.7968923408649841,2.4929298519932472,142.83435914138605,-0.45597140454959,2.044259708759705,117.12745354057394,1.3261658300108092,0.6046936961757016,0.9369633120564378,0.0,0.0,0.0,0.0,0.0,1.7476805188083162,0.0,0.0,0.0,293.75,293.75,20.600000000000023,0.0,0.012127453991456472,0.006110415900000003
3767,2017,6,6,23,0,20.8,1012.6,0.0,4.6,2017-06-06 23:00:00,23,165,157,22.64660153800634,-0.8890884651767303,2.6661462274515424,152.7589263976998,-0.5329877156212672,2.1329240465660817,122.20754589020154,1.3261658300108092,0.706830096272443,1.1234294745715356,0.0,0.0,0.0,0.0,0.0,1.6681218705770373,0.0,0.0,0.0,293.95,293.95,20.80000000000001,0.0,0.027665516909169262,0.015508677599999993
3768,2017,6,7,0,0,21.5,1011.5,0.0,6.2,2017-06-07 00:00:00,0,-180,158,22.747998967417843,-0.9198420458540595,2.7384739742786213,156.90300103258215,-0.5577885825146667,2.162515321120493,123.90300103258217,1.3258418622931825,0.7395394530071203,1.004829620283992,0.0,0.0,0.0,0.0,0.0,1.6490872611754703,0.0,0.0,0.0,294.65,294.65,21.5,0.0,0.05513961988631338,0.04102713840000001
3769,2017,6,7,1,0,21.5,1010.4,0.0,6.6,2017-06-07 01:00:00,1,-165,158,22.747998967417843,-0.8884189325218856,2.664685592180612,152.67523816126754,-0.5315391898281789,2.13121301124657,122.10951078779571,1.3258418622931825,0.704736909323602,0.9360169221411101,0.0,0.0,0.0,0.0,0.0,1.671408147363638,0.0,0.0,0.0,294.65,294.65,21.5,0.0,0.06196461287669048,0.049168841599999985
3770,2017,6,7,2,0,21.5,1009.8,0.0,5.2,2017-06-07 02:00:00,2,-150,158,22.747998967417843,-0.7962910257698019,2.491935149578702,142.77736689116114,-0.4545798645011277,2.0426967959206874,117.03790523115143,1.3258418622931825,0.6027010141111575,0.8030809975154279,0.0,0.0,0.0,0.0,0.0,1.7517076490919377,0.0,0.0,0.0,294.65,294.65,21.5,0.0,0.037844776926173496,0.0237565344
3771,2017,6,7,3,0,20.5,1009.5,0.0,4.7,2017-06-07 03:00:00,3,-135,158,22.747998967417843,-0.649736690194398,2.2780343245762915,130.5217523841566,-0.33215525737325274,1.909383973561682,109.39964315500313,1.3258418622931825,0.44038534500622467,0.6150812099831783,0.0,0.0,0.0,0.0,0.0,1.9561234566408487,0.0,0.0,0.0,293.65,293.65,20.5,0.0,0.029334560603140263,0.016773189900000006
3772,2017,6,7,4,0,20.5,1009.3,0.0,4.8,2017-06-07 04:00:00,4,-120,158,22.747998967417843,-0.45874336157264706,2.04737678070214,117.30604860731412,-0.17260840310408976,1.7442735352982817,99.93951188895497,1.3258418622931825,0.2288514466189786,0.38482943438034733,0.0,0.0,0.0,0.0,0.0,2.6577116369937475,0.0,0.0,0.0,293.65,293.65,20.5,0.0,0.031053969425836336,0.018081754399999997
3773,2017,6,7,5,0,18.3,1009.2,5.556,4.1,2017-06-07 05:00:00,5,-105,158,22.747998967417843,-0.23632691961872287,1.8093802708170938,103.66985305205739,0.013187843851560521,1.5576081006434839,89.24437030226,1.3258418622931825,0.017484995451784623,0.12801694870521788,0.005556,0.04340050326299913,0.005534298012348371,2.170198765162959e-05,0.005556,17.920057461914688,2.7782222399999366e-06,0.0624983623279029,0.005573957323700032,291.45,291.5811737956844,18.4311737956844,1.1312300115678395,0.019118781737043455,0.0098468991
3774,2017,6,7,6,0,19.4,1009.0,41.67,4.4,2017-06-07 06:00:00,6,-90,158,22.747998967417843,0.0023553227087648463,1.5684410019084165,89.86504982462256,0.21257177630648683,1.3565901892185088,77.72689237107431,1.3258418622931825,0.28183655976916233,0.1378549005461492,0.04167,0.3022743466856318,0.039629065914351384,0.0020409340856486144,0.04167,0.011080129026013937,0.0002813527653983357,0.22131086682669857,0.037301814184800205,292.54999999999995,293.42783602714894,20.277836027148965,7.534905108980155,0.02423669777635054,0.013111809599999996
3775,2017,6,7,7,0,19.4,1008.8,69.45,6.0,2017-06-07 07:00:00,7,-75,158,22.747998967417843,0.24103756503625234,1.3273615312439748,76.05221362830211,0.41195570876141296,1.146197012166198,65.67225128762821,1.3258418622931825,0.5461881240865396,0.3946673862212792,0.06945,0.17597096295426165,0.06835009349605439,0.0010999065039456052,0.06945,0.5851055341870525,0.00043409722499999714,0.12584667920085713,0.06477181893346053,292.54999999999995,294.07429680556737,20.924296805567394,13.062241482576706,0.05192548644368345,0.0372206
3776,2017,6,7,8,0,20.6,1007.9,150.012,5.7,2017-06-07 08:00:00,8,-60,158,22.747998967417843,0.463454006990177,1.0889071880734849,62.38978615806885,0.5977519557170636,0.9301023221062616,53.29093757200624,1.3258418622931825,0.7925245661573036,0.6249191618241097,0.150012,0.24005024835871897,0.147052946071525,0.0029590539284750084,0.150012,0.7753282988998628,0.0018491695007749412,0.1404473145132404,0.14030036890917003,293.75,297.05173534832915,23.90173534832917,28.078659588840868,0.046500506348287715,0.0318411839
3777,2017,6,7,9,0,19.6,1007.9,186.12599999999998,6.8,2017-06-07 09:00:00,9,-45,158,22.747998967417843,0.6544473356119277,0.8573448712750632,49.12224271124797,0.7572988099862263,0.7116293415431629,40.77335784809702,1.3258418622931825,1.0040584645445492,0.8129189493563589,0.18612599999999999,0.22896009515754076,0.18289032517561737,0.0032356748243826117,0.18612599999999999,0.8641864043386397,0.0026303413786959336,0.1318496292308642,0.1744165385594145,292.75,296.8546025407649,23.704602540764938,34.92411627178855,0.06566871013856615,0.05350400639999999
3778,2017,6,7,10,0,20.3,1007.6,97.23,5.4,2017-06-07 10:00:00,10,-30,158,22.747998967417843,0.8010016711873316,0.6418297938409733,36.774138352839486,0.8797234171141013,0.49551612461458205,28.390982621094118,1.3258418622931825,1.1663741336494822,0.9458548739820425,0.09723000000000001,0.10279589678558443,0.0963304639459984,0.0008995360540016151,0.09723000000000001,0.9105153456241811,0.0008508305610000013,0.09618539759601044,0.09114190455511277,293.45,295.5948728205303,22.44487282053035,18.308821395211325,0.04136372428243658,0.0268582376
3779,2017,6,7,11,0,20.9,1007.7,61.11600000000001,4.0,2017-06-07 11:00:00,11,-15,158,22.747998967417843,0.8931295779394153,0.46654079353789013,26.730818440405415,0.9566827424411526,0.2954103988751136,16.925769079820213,1.3258418622931825,1.2684100288619267,1.0146675721249228,0.061116000000000004,0.06023253494936329,0.06078469455546313,0.00033130544453687655,0.061116000000000004,0.9335692370288089,0.0003361648910400008,0.07362695257473792,0.05727131176815084,294.04999999999995,295.3977848702771,22.247784870277144,11.510620890932554,0.017201424862170408,0.008846699999999999
3780,2017,6,7,12,0,21.3,1007.5,202.794,4.8,2017-06-07 12:00:00,12,0,158,22.747998967417843,0.9245526912715891,0.3909362811322512,22.398998967417832,0.9829321351276401,0.1850223720258777,10.60100103258218,1.3258418622931825,1.3032125725454444,1.0146675721249228,0.202794,0.19986250233197816,0.19914621753318798,0.003647782466812022,0.202794,0.9406068417445015,0.003701286579240016,0.13411795260097775,0.1903610810995953,294.45,298.92983077521046,25.779830775210485,37.91335464993881,0.03091436634648783,0.018081754399999997
3781,2017,6,7,13,0,22.1,1006.9,75.006,1.8,2017-06-07 13:00:00,13,15,158,22.747998967417843,0.8931295779394153,0.46654079353789013,26.730818440405415,0.9566827424411526,0.2954103988751136,16.925769079820213,1.3258418622931825,1.2684100288619267,0.9458548739820425,0.075006,0.07929969180602227,0.07447068425847578,0.0005353157415242255,0.075006,0.9335692370288089,0.0005063310032399999,0.08448060287747716,0.07030632700663797,295.25,296.90454222888957,23.75454222888959,14.075907309786377,0.0,0.0
3782,2017,6,7,14,0,22.7,1007.1,75.006,1.8,2017-06-07 14:00:00,14,30,158,22.747998967417843,0.8010016711873316,0.6418297938409733,36.774138352839486,0.8797234171141013,0.49551612461458205,28.390982621094118,1.3258418622931825,1.1663741336494822,0.8129189493563589,0.075006,0.09226750103363583,0.07438314454357241,0.0006228554564275957,0.075006,0.9105153456241811,0.0005063310032399964,0.0911266980254808,0.07030259609811522,295.84999999999997,297.5044544281756,24.354454428175643,14.053444968877647,0.0,0.0
3783,2017,6,7,15,0,21.8,1007.3,88.896,2.6,2017-06-07 15:00:00,15,45,158,22.747998967417843,0.6544473356119277,0.8573448712750632,49.12224271124797,0.7572988099862263,0.7116293415431629,40.77335784809702,1.3258418622931825,1.0040584645445492,0.6249191618241097,0.088896,0.142251999027389,0.08775789296650152,0.001138107033498481,0.088896,0.8641864043386397,0.0007112248934399948,0.1131489280217224,0.08330216675578529,294.95,296.9103776576528,23.76037765765284,16.67753147054473,0.0,0.0
3784,2017,6,7,16,0,22.6,1007.1,258.35400000000004,2.7,2017-06-07 16:00:00,16,60,158,22.747998967417843,0.463454006990177,1.0889071880734849,62.38978615806885,0.5977519557170636,0.9301023221062616,53.29093757200624,1.3258418622931825,0.7925245661573036,0.3946673862212792,0.25835400000000003,0.6546119821898534,0.08486876283084702,0.173485237169153,0.25835400000000003,0.7753282988998628,0.06846896510152833,0.8194522784280293,0.21722654887148501,295.75,300.8620647834423,27.712064783442315,43.04791515440763,0.0,0.0
3785,2017,6,7,17,0,23.0,1007.0,72.22800000000001,2.7,2017-06-07 17:00:00,17,75,158,22.747998967417843,0.24103756503625234,1.3273615312439748,76.05221362830211,0.41195570876141296,1.146197012166198,65.67225128762821,1.3258418622931825,0.5461881240865396,0.1378549005461492,0.07222800000000001,0.5239422009217619,0.04421952633207904,0.028008473667920974,0.07222800000000001,0.5851055341870525,0.003861105351940685,0.6227187271256049,0.05872639927560841,296.15,297.5320279296193,24.382027929619312,11.738536721841028,0.0,0.0
